Valuta,alfa,live,hot,Summa
USDT,0.018126669999999998,0.00299245,115.5197861,115.54090522
BTC,0.05968161,0.01246992,0.0059325,0.07808403
USD,1380.11599718,120.81611371,0.0,1500.93211089
PZM,0.00442785,256.18,41407.953238099995,41664.137665949995
ETH,0.02048856,0.0,0.00080888,0.02129744
